Cas592	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	99.79711	97.51054	99.43552	97.15893	995.82043	5596.74268	301.99994	0.00000	1.00000	634.82562	5667.36133	16565	1	-1	1	0	0
1	99.42984	97.48448	99.21602	97.15932	1206.55396	3385.37402	172.66798	0.00000	1.00000	739.68536	4285.86572	16666	1	-1	1	0	0
1	99.51331	97.83573	99.27967	97.38544	1185.91089	4887.18066	259.41684	0.00000	1.00000	671.55377	5413.15576	16767	1	-1	1	0	0
1	99.79688	97.64917	99.47905	97.13496	1214.35449	8009.97363	327.82541	0.00000	1.00000	562.45239	8360.69043	16868	1	-1	1	0	0
1	99.47096	97.93610	99.22750	97.36611	1175.86829	4799.09668	248.23572	0.00000	1.00000	720.53375	5313.66016	16969	1	-1	1	0	0
1	99.54977	97.76279	99.29833	97.12602	1187.10669	5868.39307	283.99448	0.00000	1.00000	659.42627	6447.34131	17070	1	-1	1	0	0
1	99.75244	98.09971	99.38709	97.40293	982.49750	5633.19678	302.52130	0.00000	1.00000	629.53009	6174.74561	17171	1	-1	1	0	0
1	99.71926	97.82712	99.34537	97.25066	1388.31763	6264.55811	270.94098	0.00000	1.00000	641.53815	6956.54639	17272	1	-1	1	0	0
1	99.61574	97.55410	99.30775	97.12556	1245.42859	3410.12549	210.86096	0.00000	1.00000	760.69098	4048.72754	17373	1	-1	1	0	0
1	99.59396	97.79115	99.35061	97.24864	1042.63013	5850.44238	310.13452	0.00000	1.00000	596.61914	6328.51953	17474	1	-1	1	0	0
1	99.48070	98.04632	99.24990	97.34978	957.15112	9259.76953	397.07755	0.00000	1.00000	496.44501	9092.87500	17575	1	-1	1	0	0
1	99.68504	97.90722	99.40221	97.27788	1078.89697	7449.01660	339.26819	0.00000	1.00000	595.32428	7436.89307	17676	1	-1	1	0	0
1	99.59184	97.65932	99.27646	97.23614	954.21307	3340.40845	238.73741	0.00000	1.00000	703.44965	3692.75879	17777	1	-1	1	0	0
1	99.70828	97.47076	99.36387	97.12699	912.91760	3448.98315	239.17195	0.00000	1.00000	650.46783	4565.30518	17878	1	-1	1	0	0
1	99.68190	97.78815	99.36152	97.27802	867.30603	3989.32397	271.53998	0.00000	1.00000	630.19244	4988.19092	17979	1	-1	1	0	0
1	99.51941	98.00538	99.20892	97.32580	1368.48083	5825.46338	263.37424	0.00000	1.00000	666.80487	6575.87646	18080	1	-1	1	0	0
1	99.84081	97.92547	99.43400	97.26646	1122.20337	8067.84229	342.61835	0.00000	1.00000	520.28918	8482.77051	18181	1	-1	1	0	0
1	99.73734	97.78454	99.33796	97.24303	1145.80615	7411.95557	324.80518	0.00000	1.00000	596.66876	7636.28076	18282	1	-1	1	0	0
1	99.59233	97.67696	99.31441	97.23408	1025.65613	4971.38379	281.03680	0.00000	1.00000	609.44952	5394.76465	18383	1	-1	1	0	0
1	99.50103	97.63998	99.28168	97.17098	934.85553	4297.64551	273.68582	0.00000	1.00000	707.26575	4830.35645	18484	1	-1	1	0	0
1	99.59809	97.93247	99.35973	97.34804	1031.31445	4783.48291	291.12155	0.00000	1.00000	689.71503	5543.12451	18585	1	-1	1	0	0
1	99.56880	97.83859	99.26374	97.25993	934.28290	3673.32227	253.42657	0.00000	1.00000	659.25043	4154.73926	18686	1	-1	1	0	0
1	99.80234	97.71008	99.44427	97.19617	1206.52246	5095.23047	262.30670	0.00000	1.00000	694.41418	5319.64746	18787	1	-1	1	0	0
1	99.56731	97.80640	99.24722	97.28114	978.83020	6558.02295	340.34616	0.00000	1.00000	627.26068	7077.48096	18888	1	-1	1	0	0
